yearID,name,R,innings,BA,OBP,SLG,ISO,TA,LinWeights
1961,Kansas City Athletics,683,1458,0.2475,0.320173247,0.3544,0.107,0.530831099,-22.97
1961,Los Angeles Angels,744,1458,0.2454,0.32956593,0.3982,0.1528,0.508129095,72.14
1961,Los Angeles Dodgers,735,1386,0.2617,0.337770095,0.4051,0.1434,0.544633643,98.01
1961,Minnesota Twins,707,1449,0.2498,0.324243432,0.3967,0.1469,0.506939372,44.17
1961,Milwaukee Braves,712,1395,0.2581,0.326176572,0.4153,0.1571,0.505547151,81.99
1961,New York Yankees,827,1467,0.2628,0.328416912,0.4416,0.1788,0.497570457,138.31
1961,Philadelphia Phillies,584,1395,0.2427,0.305907173,0.3566,0.1139,0.489693313,-61.83
1961,Pittsburgh Pirates,694,1386,0.2726,0.326886217,0.4101,0.1375,0.536861033,62.49
1961,San Francisco Giants,773,1395,0.2635,0.328454435,0.4225,0.159,0.51432958,93.52
1961,St. Louis Cardinals,703,1395,0.2706,0.332701258,0.3925,0.1219,0.559887151,58.45
1961,Washington Senators,618,1449,0.2436,0.314821067,0.3669,0.1234,0.507793473,-23.01
1962,Baltimore Orioles,652,1458,0.2482,0.312801731,0.3868,0.1386,0.487740385,1.74
1962,Boston Red Sox,707,1440,0.2584,0.322708505,0.4033,0.1448,0.526608612,51.54
1962,Chicago White Sox,707,1458,0.2566,0.331757418,0.3723,0.1157,0.565595554,32.39
1962,Chicago Cubs,632,1458,0.2526,0.315004969,0.3766,0.124,0.504538939,-14.76
1962,Cincinnati Reds,802,1458,0.2698,0.328992349,0.4174,0.1476,0.531843307,95.88
1962,Cleveland Indians,682,1458,0.2445,0.307885065,0.3879,0.1433,0.463572974,-2.13
1962,Detroit Tigers,758,1449,0.2478,0.32798428,0.4109,0.1631,0.51030303,100.41
1962,Houston Colt .45's,592,1458,0.2465,0.307882995,0.3507,0.1042,0.482219061,-76.69
1962,Kansas City Athletics,745,1458,0.2631,0.329908676,0.3858,0.1227,0.556416465,57.57
1962,Los Angeles Angels,718,1458,0.2504,0.324373054,0.3801,0.1297,0.521330441,26.44
1962,Los Angeles Dodgers,842,1485,0.2683,0.335806452,0.4001,0.1318,0.581350637,120.74
1962,Minnesota Twins,798,1467,0.2598,0.337198068,0.4123,0.1525,0.535541586,116.61
1962,Milwaukee Braves,730,1458,0.2521,0.324060275,0.4029,0.1508,0.507666099,65.87
1962,New York Yankees,817,1458,0.2674,0.336062942,0.4259,0.1586,0.529538905,133.21
1962,New York Mets,617,1449,0.24,0.316633923,0.3607,0.1207,0.48602558,-35.54
1962,Philadelphia Phillies,705,1449,0.2601,0.32616367,0.3899,0.1297,0.521470879,42.81
1962,Pittsburgh Pirates,706,1449,0.2677,0.321217244,0.3943,0.1266,0.536013814,25.21
1962,San Francisco Giants,878,1485,0.2777,0.339551628,0.4408,0.163,0.53671072,158.99
1962,St. Louis Cardinals,774,1467,0.2708,0.33176356,0.3938,0.123,0.537536092,66.56
1962,Washington Senators,599,1458,0.2498,0.308571429,0.3735,0.1236,0.487640989,-31.22
1963,Baltimore Orioles,644,1458,0.2494,0.308940341,0.3796,0.1301,0.488964346,-8.1
1963,Boston Red Sox,666,1449,0.2517,0.310413223,0.4002,0.1485,0.485434575,21.39
1963,Chicago White Sox,683,1458,0.2504,0.320776443,0.3647,0.1144,0.519605485,-6.8
1963,Chicago Cubs,570,1458,0.238,0.295225056,0.3627,0.1247,0.454523696,-94.95
1963,Cincinnati Reds,648,1458,0.2461,0.306791171,0.3715,0.1254,0.490702729,-42.53
1963,Cleveland Indians,635,1458,0.2391,0.29891031,0.3808,0.1417,0.452584163,-42.33
1963,Detroit Tigers,700,1458,0.2524,0.325016415,0.3816,0.1293,0.516409266,34.12
1963,Houston Colt .45's,464,1458,0.2199,0.280821918,0.3005,0.0806,0.433806147,-223.26
1963,Kansas City Athletics,615,1458,0.2468,0.312915007,0.3534,0.1066,0.507082833,-50.84
1963,Los Angeles Angels,597,1449,0.2503,0.306684582,0.3536,0.1033,0.487734488,-74.08
1963,Los Angeles Dodgers,640,1467,0.2507,0.308450944,0.3569,0.1061,0.484408992,-63.04
1963,Minnesota Twins,767,1449,0.2546,0.321651859,0.4296,0.175,0.493352671,105.56
1963,Milwaukee Braves,677,1467,0.2437,0.309448949,0.3704,0.1267,0.481893491,-38.14
1963,New York Yankees,714,1449,0.2519,0.306565657,0.4028,0.1509,0.462243667,11.79
1963,New York Mets,501,1458,0.2189,0.280510962,0.3152,0.0963,0.413270142,-209.93
1963,Philadelphia Phillies,642,1458,0.2516,0.302513919,0.3809,0.1293,0.484064222,-41.51
1963,Pittsburgh Pirates,567,1458,0.2502,0.307011686,0.3591,0.1089,0.483301527,-67.83
1963,San Francisco Giants,725,1458,0.2585,0.312790698,0.4139,0.1554,0.470138557,36.52
1963,St. Louis Cardinals,747,1458,0.2712,0.325619296,0.4028,0.1316,0.542583732,58.76
1963,Washington Senators,578,1458,0.2271,0.291771832,0.3509,0.1238,0.447486429,-101.7
1964,Baltimore Orioles,679,1467,0.2484,0.315666667,0.3866,0.1382,0.492519305,16.87
1964,Boston Red Sox,688,1458,0.2585,0.320591657,0.4161,0.1576,0.500974659,72.72
1964,Chicago White Sox,642,1458,0.2469,0.316867669,0.3529,0.106,0.505989459,-40.83
1964,Chicago Cubs,649,1458,0.2509,0.312706817,0.3904,0.1396,0.500832739,3.19
1964,Cincinnati Reds,660,1467,0.2487,0.305749418,0.3721,0.1234,0.488846701,-33.83
1964,Cleveland Indians,689,1476,0.2474,0.309028347,0.3802,0.1328,0.469072165,-21.39
1964,Detroit Tigers,699,1467,0.2529,0.316915423,0.3951,0.1422,0.506512301,31.06
1964,Houston Colt .45's,495,1458,0.2289,0.280612245,0.3145,0.0856,0.425670776,-211.04
1964,Kansas City Athletics,621,1467,0.2391,0.307806324,0.3789,0.1398,0.471465783,-18.33
1964,Los Angeles Angels,544,1458,0.2419,0.303222489,0.3437,0.1018,0.467105263,-98.33
1964,Los Angeles Dodgers,614,1476,0.25,0.305373084,0.3401,0.09,0.495458891,-90.36
1964,Minnesota Twins,737,1467,0.2519,0.319000487,0.4269,0.175,0.494904006,94.5
1964,Milwaukee Braves,803,1458,0.2722,0.330426197,0.418,0.1458,0.535036496,95.09
1964,New York Yankees,730,1476,0.2528,0.315180723,0.3867,0.1339,0.493809858,17.17
1964,New York Mets,569,1467,0.2465,0.291434364,0.3482,0.1017,0.44591716,-128.21
1964,Philadelphia Phillies,693,1458,0.2576,0.312658014,0.391,0.1334,0.501580355,-2.7
1964,Pittsburgh Pirates,663,1458,0.2639,0.314194844,0.389,0.125,0.507263923,-1.49
1964,San Francisco Giants,656,1458,0.2457,0.308774834,0.3823,0.1366,0.472684086,-14.02
1964,St. Louis Cardinals,715,1458,0.2722,0.323529412,0.3918,0.1196,0.534861279,26.71
1964,Washington Senators,578,1458,0.2309,0.297800338,0.3477,0.1168,0.456220096,-97.78
1965,Baltimore Orioles,641,1458,0.2383,0.305736745,0.3628,0.1244,0.488283118,-48.18
1965,Boston Red Sox,669,1458,0.2511,0.325730226,0.4004,0.1493,0.524316477,67.1
1965,California Angels,527,1458,0.2389,0.297050198,0.3412,0.1024,0.471698113,-112.88
1965,Chicago White Sox,647,1458,0.2458,0.312313803,0.3639,0.1182,0.490687679,-38.04
1965,Chicago Cubs,635,1476,0.2375,0.304347826,0.3585,0.1209,0.468274409,-70.66
1965,Cincinnati Reds,825,1458,0.2729,0.336023241,0.4388,0.166,0.561145883,157.18
1965,Cleveland Indians,663,1458,0.25,0.313472803,0.3794,0.1295,0.486981678,1.12
